State,Candidate Name,Party,Status,Votes,Candidate ID
Election Commission of India,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,"Won
477005 (+ 50580)","GUMMA THANUJA RANI
Yuvajana Sramika Rythu Congress Party",GUMMA-2024-5992
Election Commission of India,KOTHAPALLI GEETHA,Bharatiya Janata Party,"Lost
426425 ( -50580)","KOTHAPALLI GEETHA
Bharatiya Janata Party",KOTHA-2024-6969
Election Commission of India,APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),"Lost
123129 ( -353876)","APPALANARASA PACHIPENTA
Communist Party of India  (Marxist)",APPAL-2024-5751
Election Commission of India,AVASHYA LAHARI . VARAM,Bahujan Samaj Party,"Lost
25750 ( -451255)","AVASHYA LAHARI . VARAM
Bahujan Samaj Party",VARAM-2024-6929
Election Commission of India,SAMAREDDY BALAKRISHNA,Independent,"Lost
9535 ( -467470)","SAMAREDDY BALAKRISHNA
Independent",SAMAR-2024-7717
Election Commission of India,NIMMAKA JAYARAJU,Independent,"Lost
9462 ( -467543)","NIMMAKA JAYARAJU
Independent",NIMMA-2024-5705
Election Commission of India,ATHIDHI,Independent,"Lost
8136 ( -468869)","ATHIDHI
Independent",ATHID-2024-8257
Election Commission of India,CHANTI BADNAINA,Jai Bharat National Party,"Lost
7252 ( -469753)","CHANTI BADNAINA
Jai Bharat National Party",CHANT-2024-7281
Election Commission of India,MOTTADAM . RAJABABU,Bharat Adivasi Party,"Lost
6766 ( -470239)","MOTTADAM . RAJABABU
Bharat Adivasi Party",MOTTA-2024-8124
Election Commission of India,RANJITH KUMAR PALAKA,Independent,"Lost
6047 ( -470958)","RANJITH KUMAR PALAKA
Independent",RANJI-2024-5838
Election Commission of India,MANDALA GIRIDHARA RAO,Independent,"Lost
4967 ( -472038)","MANDALA GIRIDHARA RAO
Independent",MANDA-2024-20240426083444
Election Commission of India,RAMBABU JALLI,Telugu Rajadhikara Samiti Party,"Lost
4959 ( -472046)","RAMBABU JALLI
Telugu Rajadhikara Samiti Party",RAMBA-2024-20240423125010
Election Commission of India,VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party,"Lost
4542 ( -472463)","VUYAKA NIREEKSHAN  (V. CHENCHU)
India Praja Bandhu Party",VUYAK-2024-20240424043308
Election Commission of India,NOTA,None of the Above,50470 ( -426535),"NOTA
None of the Above",NOTA
